doc,exp,sent_t,chain_t,umap_t,hdbscan_t,cluster_t
4531,allow_hierarchical,0,0.003,0.088,,0.002
4532,allow_hierarchical,0,0.005,0.129,,0.002
4533,allow_hierarchical,0,0.005,0.157,,0.002
4535,allow_hierarchical,0,0.009,0.135,,0.002
4536,allow_hierarchical,0,0.002,0.105,,0.003
4537,allow_hierarchical,0,0.003,0.176,,0.002
4538,allow_hierarchical,0,0.003,0.102,,0.002
4539,allow_hierarchical,0,0.001,0.091,,0.002
4540,allow_hierarchical,0,0.006,0.119,,0.003
4541,allow_hierarchical,0,0.004,0.268,,0.003
4542,allow_hierarchical,0,0.003,0.166,,0.004
4543,allow_hierarchical,0,0.0,0.057,,0.002
4544,allow_hierarchical,0,0.008,0.223,,0.005
4545,allow_hierarchical,0,0.003,0.115,,0.003
