doc,exp,sent_t,chain_t,umap_t,cluster_t
434,mpnet,0,0.004,0.087,0.003
435,mpnet,0,0.005,0.149,0.003
436,mpnet,0,0.006,0.095,0.002
437,mpnet,0,0.002,0.083,0.002
438,mpnet,0,0.002,0.103,0.002
439,mpnet,0,0.002,0.097,0.002
440,mpnet,0,0.008,0.194,0.004
441,mpnet,0,0.005,0.078,0.002
442,mpnet,0,0.001,0.071,0.002
443,mpnet,0,0.004,0.089,0.003
444,mpnet,0,0.003,0.112,0.003
445,mpnet,0,0.001,0.084,0.002
446,mpnet,0,0.0,0.044,0.001
447,mpnet,0,0.002,0.073,0.003
448,mpnet,0,0.004,0.132,0.003
449,mpnet,0,0.004,0.126,0.003
450,mpnet,0,0.005,0.181,0.002
451,mpnet,0,0.001,0.059,0.001
452,mpnet,0,0.006,0.084,0.002
453,mpnet,0,0.004,0.107,0.002
454,mpnet,0,0.002,0.111,0.003
455,mpnet,0,0.002,0.089,0.003
456,mpnet,0,0.002,0.066,0.002
457,mpnet,0,0.007,0.134,0.003
458,mpnet,0,0.003,0.068,0.002
459,mpnet,0,0.003,0.109,0.002
460,mpnet,0,0.001,0.086,0.002
461,mpnet,0,0.004,0.08,0.002
462,mpnet,0,0.003,0.132,0.003
463,mpnet,0,0.002,0.081,0.002
464,mpnet,0,0.003,0.075,0.002
465,mpnet,0,0.006,0.079,0.002
466,mpnet,0,0.003,0.089,0.003
467,mpnet,0,0.001,0.117,0.003
468,mpnet,0,0.003,0.126,0.002
469,mpnet,0,0.0,0.0,0.0
470,mpnet,0,0.0,0.067,0.002
471,mpnet,0,0.005,0.218,0.004
472,mpnet,0,0.005,0.095,0.003
473,mpnet,0,0.009,0.139,0.002
474,mpnet,0,0.003,0.084,0.002
475,mpnet,0,0.003,0.101,0.002
476,mpnet,0,0.003,0.113,0.003
477,mpnet,0,0.003,0.103,0.002
478,mpnet,0,0.003,0.073,0.002
479,mpnet,0,0.013,0.229,0.003
480,mpnet,0,0.002,0.072,0.002
481,mpnet,0,0.0,0.012,0.001
482,mpnet,0,0.006,0.079,0.002
483,mpnet,0,0.006,0.242,0.003
484,mpnet,0,0.0,0.037,0.002
485,mpnet,0,0.001,0.113,0.002
486,mpnet,0,0.002,0.088,0.003
487,mpnet,0,0.013,0.284,0.006
488,mpnet,0,0.007,0.22,0.003
489,mpnet,0,0.003,0.075,0.002
490,mpnet,0,0.0,0.061,0.002
491,mpnet,0,0.0,0.107,0.003
492,mpnet,0,0.004,0.152,0.004
493,mpnet,0,0.008,0.086,0.002
494,mpnet,0,0.002,0.095,0.002
495,mpnet,0,0.005,0.212,0.003
496,mpnet,0,0.01,0.208,0.004
497,mpnet,0,0.001,0.074,0.002
498,mpnet,0,0.008,0.111,0.002
499,mpnet,0,0.005,0.166,0.003
500,mpnet,0,0.002,0.083,0.002
501,mpnet,0,0.002,0.088,0.002
502,mpnet,0,0.003,0.067,0.002
503,mpnet,0,0.0,0.042,0.001
504,mpnet,0,0.008,0.2,0.003
505,mpnet,0,0.001,0.102,0.002
506,mpnet,0,0.003,0.074,0.003
507,mpnet,0,0.006,0.191,0.003
508,mpnet,0,0.003,0.083,0.003
