idx,query,doc,score
437,3,6554,0.0
438,3,3360,0.0
439,3,3596,0.0
440,3,3778,0.0
441,3,324,0.0
442,3,4647,0.0
443,3,3587,0.0
444,3,1854,0.0
445,3,1869,0.0
446,3,2133,0.0
447,3,6262,0.0
448,3,1014,0.0
449,3,4249,0.0
450,3,5888,0.0
451,3,1121,0.0
452,3,337,0.0
453,3,876,0.0
454,3,404,0.0
455,3,1596,0.0
456,3,12,0.0
457,3,259,0.0
458,3,372,0.0
459,3,879,0.0
460,3,1448,0.0
461,3,1728,0.0
462,3,2397,0.0
463,3,3056,0.0
464,3,3704,0.0
465,3,3975,0.0
466,3,4412,0.0
467,3,4540,0.0
468,3,4903,0.0
469,3,5135,0.0
470,3,5451,0.0
471,3,6056,0.0
472,3,6452,0.0
473,3,223,0.0
474,3,364,0.0
475,3,456,0.0
476,3,504,0.0
477,3,649,0.0
478,3,2157,0.0
479,3,2479,0.0
480,3,2689,0.0
481,3,2824,0.0
482,3,3862,0.0
483,3,5595,0.0
484,3,6511,0.0
485,3,2821,0.0
486,3,5770,0.0
487,3,819,0.0
488,3,3112,0.0
489,3,5978,0.0
490,3,4517,0.0
491,3,6288,0.0
492,3,6329,0.0
493,3,5096,0.0
494,3,999,0.0
495,3,2638,0.0
496,3,729,0.0
497,3,920,0.0
498,3,2523,0.0
499,3,2688,0.0
